partner_id,login,password
8,login8,almoines
9,login9,almoines
10,login10,almoines
11,login11,almoines
12,login12,almoines
13,login13,almoines
14,login14,almoines
15,login15,almoines
16,login16,almoines
17,login17,almoines
18,login18,almoines
19,login19,almoines
20,login20,almoines
21,login21,almoines
22,login22,almoines
23,login23,almoines
24,login24,almoines
25,login25,almoines
26,login26,almoines
27,login27,almoines
28,login28,almoines
29,login29,almoines
30,login30,almoines
31,login31,almoines
32,login32,almoines
33,login33,almoines
34,login34,almoines
35,login35,almoines
36,login36,almoines
37,login37,almoines
38,login38,almoines
39,login39,almoines
40,login40,almoines
41,login41,almoines
42,login42,almoines
43,login43,almoines
44,login44,almoines
45,login45,almoines
46,login46,almoines
47,login47,almoines
48,login48,almoines
49,login49,almoines
50,login50,almoines
51,login51,almoines
52,login52,almoines
53,login53,almoines
54,login54,almoines
55,login55,almoines
56,login56,almoines
57,login57,almoines
58,login58,almoines
59,login59,almoines
60,login60,almoines
61,login61,almoines
62,login62,almoines
63,login63,almoines
64,login64,almoines
65,login65,almoines
66,login66,almoines
67,login67,almoines
68,login68,almoines
69,login69,almoines
70,login70,almoines
71,login71,almoines
72,login72,almoines
73,login73,almoines
74,login74,almoines
75,login75,almoines
76,login76,almoines
77,login77,almoines
78,login78,almoines
79,login79,almoines
80,login80,almoines
81,login81,almoines
82,login82,almoines
83,login83,almoines
84,login84,almoines
85,login85,almoines
86,login86,almoines
87,login87,almoines
